symbol,direction,entry_price,exit_price,entry_time,exit_time,quantity,pnl,pnl_pct,duration_hours,exit_reason,signal_score,ta_score,ml_score,news_score,risk_score,grade,commission_total
BTC-USDT,LONG,84757.77309999999,88288.623,2025-04-19 02:00:00+00:00,2025-04-21 14:15:00+00:00,0.006646882986594183,23.11703964085076,4.10331300481043,60.25,take_profit,56.3375,51.25,77.0,50.0,45.75,C,0.6901314876771167
BTC-USDT,LONG,88218.12999999999,91574.23409999999,2025-04-21 14:30:00+00:00,2025-04-22 21:30:00+00:00,0.007088068243748831,23.39884424152333,3.7420420944538244,31.0,take_profit,62.387499999999996,49.25,100.0,50.0,50.75,B,0.7646283278674424
BTC-USDT,LONG,91757.56589999999,95237.5671,2025-04-22 21:30:00+00:00,2025-04-25 14:45:00+00:00,0.006960318739860221,23.824187273281254,3.730328530587159,65.25,take_profit,63.574999999999996,55.5,100.0,50.0,45.75,B,0.7809274370895325
BTC-USDT,LONG,95428.23289999999,93273.7329,2025-04-25 14:45:00+00:00,2025-04-28 00:00:00+00:00,0.006476069099759084,-14.315119159102576,-2.3163629594360704,57.25,stop_loss,61.37499999999999,68.5,77.0,50.0,40.75,B,0.7332281818687052
BTC-USDT,LONG,93460.4671,97249.8528,2025-04-28 00:00:00+00:00,2025-05-01 15:00:00+00:00,0.006924173326019006,25.834338483907633,3.9921005148924618,87.0,take_profit,64.3625,57.75,100.0,50.0,45.75,B,0.7923067860288788
BTC-USDT,LONG,96902.9061,94735.17,2025-05-01 15:45:00+00:00,2025-05-04 22:30:00+00:00,0.006620980404582332,-14.728882062922557,-2.295676457529889,78.75,stop_loss,63.65,61.5,95.9,50.0,40.75,B,0.7612991679779746
BTC-USDT,LONG,94924.82999999999,98531.37,2025-05-04 22:30:00+00:00,2025-05-08 02:30:00+00:00,0.006801831424611177,24.128960844851658,3.7370845731301374,76.0,take_profit,64.15,60.0,100.0,50.0,40.75,B,0.7895138762675188
BTC-USDT,LONG,98728.62999999999,102472.62479999999,2025-05-08 02:45:00+00:00,2025-05-08 20:45:00+00:00,0.006635669007912352,24.43592560781813,3.7299324675324685,18.0,take_profit,64.9375,62.25,100.0,50.0,40.75,B,0.8010629584976616
BTC-USDT,LONG,102572.5701,106516.8765,2025-05-08 21:00:00+00:00,2025-05-20 02:00:00+00:00,0.006505736378954192,25.244835205170677,3.783074042423747,269.0,take_profit,65.9875,65.25,100.0,50.0,40.75,B,0.8161684915206118
BTC-USDT,LONG,106005.79989999998,110290.0995,2025-05-20 03:00:00+00:00,2025-05-22 02:15:00+00:00,0.0060546843814440745,25.53941882782484,3.979145994161791,47.25,take_profit,63.31249999999999,54.75,100.0,50.0,45.75,B,0.7857620423205471
BTC-USDT,LONG,110510.90049999999,107999.6922,2025-05-22 02:15:00+00:00,2025-05-23 12:00:00+00:00,0.005949865125461657,-15.326900848248583,-2.33099911743094,33.75,stop_loss,64.7,64.5,95.9,50.0,40.75,B,0.7800651330298118
BTC-USDT,LONG,108215.90779999999,105685.40879999999,2025-05-23 12:00:00+00:00,2025-05-29 18:45:00+00:00,0.005505224840432371,-14.280059116167457,-2.3969768382611085,150.75,stop_loss,58.7125,38.75,100.0,50.0,50.75,C,0.7065449049285053
BTC-USDT,LONG,105733.42779999999,103329.9666,2025-05-29 19:00:00+00:00,2025-05-31 01:45:00+00:00,0.005492191741656598,-13.54077454756771,-2.331768893961831,30.75,stop_loss,57.3125,34.75,100.0,50.0,50.75,C,0.6889297489238256
BTC-USDT,LONG,103536.83339999999,100713.186,2025-05-31 01:45:00+00:00,2025-06-05 20:30:00+00:00,0.005729291186519303,-16.52370726400772,-2.7855548763576423,138.75,stop_loss,58.625,38.5,100.0,50.0,50.75,C,0.7021247015968899
BTC-USDT,LONG,100535.33489999999,104412.9825,2025-06-05 20:45:00+00:00,2025-06-06 14:15:00+00:00,0.005916872465268206,22.57286733375094,3.794685534488642,17.5,take_profit,58.887499999999996,39.25,100.0,50.0,50.75,C,0.7275918336162652
BTC-USDT,LONG,104622.01749999999,109070.82,2025-06-06 14:15:00+00:00,2025-06-09 21:00:00+00:00,0.005828888500520234,25.550116744271595,4.189710839785727,78.75,take_profit,60.2375,65.25,77.0,50.0,40.75,B,0.7473550338883732
BTC-USDT,LONG,109289.18,106884.1089,2025-06-09 21:00:00+00:00,2025-06-12 11:15:00+00:00,0.0062253183617230435,-15.3715658435063,-2.259328476377979,62.25,stop_loss,67.03750000000001,68.25,100.0,50.0,40.75,B,0.807448526821938
BTC-USDT,LONG,107098.09109999999,104169.726,2025-06-12 11:15:00+00:00,2025-06-13 00:00:00+00:00,0.005621358014053469,-16.812733817402577,-2.792642618445322,12.75,stop_loss,59.4125,40.75,100.0,50.0,50.75,C,0.7125672220600003
BTC-USDT,LONG,103785.7821,107733.85829999999,2025-06-13 00:15:00+00:00,2025-06-16 17:15:00+00:00,0.005756817126688683,22.356230213280536,3.7417802385284484,89.0,take_profit,59.06249999999999,40.75,98.6,50.0,50.75,C,0.7306079330914508
BTC-USDT,LONG,107803.59589999999,105404.9895,2025-06-16 17:45:00+00:00,2025-06-17 11:15:00+00:00,0.0060844716773426075,-14.979052909850656,-2.283643113336992,17.5,stop_loss,64.7,64.5,95.9,50.0,40.75,B,0.7783569595395494
BTC-USDT,LONG,105585.47999999998,102787.11,2025-06-17 11:30:00+00:00,2025-06-20 17:15:00+00:00,0.005494623742196204,-15.714856138448125,-2.7087458105034714,77.75,stop_loss,57.3125,34.75,100.0,50.0,50.75,C,0.6869573881421491
BTC-USDT,LONG,103112.20919999998,100222.8768,2025-06-20 19:00:00+00:00,2025-06-22 13:30:00+00:00,0.0055145748523735124,-16.265051726808206,-2.860443151168548,42.5,stop_loss,56.262499999999996,31.75,100.0,50.0,50.75,C,0.6727839311164832
BTC-USDT,LONG,100423.52319999998,105160.734,2025-06-22 13:30:00+00:00,2025-06-23 22:00:00+00:00,0.00596940840787461,27.90169755756378,4.654401887784013,32.5,take_profit,59.4125,40.75,100.0,50.0,50.75,C,0.7363298360738016
BTC-USDT,LONG,105175.17009999999,109270.62,2025-06-23 22:30:00+00:00,2025-07-02 16:00:00+00:00,0.006474028652004417,26.089607320627298,3.831595921516848,209.5,take_profit,67.3,69.0,100.0,50.0,40.75,B,0.832996913645475
BTC-USDT,LONG,109262.55339999998,113462.9235,2025-07-02 16:15:00+00:00,2025-07-10 17:30:00+00:00,0.0061095719694906885,25.24653748625174,3.7819840533765436,193.25,take_profit,65.8125,64.75,100.0,50.0,40.75,B,0.8164543983358113
BTC-USDT,LONG,113690.07649999998,118048.3335,2025-07-10 17:30:00+00:00,2025-07-11 09:15:00+00:00,0.005716095893793364,24.50734958516316,3.7711541164281064,15.75,take_profit,63.912499999999994,66.75,89.6,50.0,40.75,B,0.7947833843011217
BTC-USDT,LONG,118284.66649999999,115307.0775,2025-07-11 09:15:00+00:00,2025-07-25 03:30:00+00:00,0.005294909919923148,-16.132389886649264,-2.5757973004049455,330.25,stop_loss,61.449999999999996,49.5,95.9,50.0,50.75,B,0.742108345510649
BTC-USDT,LONG,115537.92249999999,112900.3866,2025-07-25 03:30:00+00:00,2025-08-01 22:30:00+00:00,0.0052325623949661835,-14.155526156093408,-2.341461637377103,187.0,stop_loss,59.4125,40.75,100.0,50.0,50.75,C,0.7171906234597927
BTC-USDT,LONG,113126.41339999998,117589.3929,2025-08-01 22:30:00+00:00,2025-08-09 10:00:00+00:00,0.005079367705965798,22.31074608577131,3.882758882073806,179.5,take_profit,56.55,49.0,77.0,50.0,50.75,C,0.7031342494656481
BTC-USDT,LONG,117605.28779999999,122186.59109999999,2025-08-09 10:30:00+00:00,2025-08-11 05:00:00+00:00,0.005827296407641089,26.269401772376902,3.833153618914064,42.5,take_profit,67.3,69.0,100.0,50.0,40.75,B,0.8384030126972861
BTC-USDT,LONG,121987.86599999998,119034.5463,2025-08-11 05:30:00+00:00,2025-08-11 19:30:00+00:00,0.005176108653250938,-15.65638510206989,-2.4795420454194836,14.0,stop_loss,61.85,49.5,97.5,50.0,50.75,B,0.7485349163600672
BTC-USDT,LONG,119272.85369999998,119690.19,2025-08-11 19:30:00+00:00,2025-08-13 08:15:00+00:00,0.004920281666036165,1.7000664769846583,0.2896905500970876,36.75,backtest_end,57.574999999999996,35.5,100.0,50.0,50.75,C,0.7054592896663853
