symbol,direction,entry_time,exit_time,entry_price,exit_price,size_usdt,leverage,pnl,pnl_pct,exit_reason,composite_score,ml_confidence
BTC-USDT,SHORT,2025-04-18 02:45:00+00:00,2025-04-21 00:30:00+00:00,84907.7,86687.3,319.18125,1.5,-10.034689771952397,-3.1438844769084646,STOP_LOSS,36.175,high
BTC-USDT,LONG,2025-04-21 01:15:00+00:00,2025-04-22 14:30:00+00:00,87097.9,90694.0,519.8091137327598,2.0,42.92378011167618,8.257604373928661,TAKE_PROFIT,65.975,high
BTC-USDT,LONG,2025-04-22 15:30:00+00:00,2025-04-23 07:45:00+00:00,90464.1,94144.9,545.9145776281101,2.0,44.424304831055444,8.137592702519537,TAKE_PROFIT,69.5,high
BTC-USDT,LONG,2025-04-23 08:45:00+00:00,2025-04-23 15:15:00+00:00,94283.2,92173.9,525.0343262092696,2.0,-23.49209412224477,-4.474392044393918,STOP_LOSS,66.075,high
BTC-USDT,LONG,2025-04-23 16:45:00+00:00,2025-05-02 14:45:00+00:00,93631.3,97686.0,484.6193212637919,2.0,41.972843737688045,8.66099263814557,TAKE_PROFIT,60.3,high
BTC-USDT,LONG,2025-05-02 15:45:00+00:00,2025-05-04 13:30:00+00:00,97269.9,95213.9,536.7302759648786,2.0,-22.68980326665886,-4.227412591151014,STOP_LOSS,67.65,high
BTC-USDT,SHORT,2025-05-04 15:00:00+00:00,2025-05-08 00:45:00+00:00,95600.8,97718.6,338.3429834512153,1.5,-11.242731813222033,-3.3228801432624033,STOP_LOSS,38.650000000000006,high
BTC-USDT,LONG,2025-05-08 02:15:00+00:00,2025-05-08 20:45:00+00:00,98547.9,102575.2,547.1514570088187,2.0,44.72024391816807,8.173284260750362,TAKE_PROFIT,69.45,high
BTC-USDT,LONG,2025-05-08 22:00:00+00:00,2025-05-20 19:45:00+00:00,102550.1,106983.8,529.288008287974,2.0,45.76698106284418,8.646895517410508,TAKE_PROFIT,66.475,high
BTC-USDT,LONG,2025-05-20 20:30:00+00:00,2025-05-22 03:30:00+00:00,106699.2,111279.9,528.9437195052328,2.0,45.41613237845492,8.586193710918165,TAKE_PROFIT,66.075,high
BTC-USDT,LONG,2025-05-22 04:15:00+00:00,2025-05-23 11:45:00+00:00,111454.7,109053.3,492.5902895279052,2.0,-21.22667453723008,-4.309194677299376,STOP_LOSS,60.45,high
BTC-USDT,SHORT,2025-05-23 12:45:00+00:00,2025-05-30 16:45:00+00:00,108399.9,103881.6,286.52043562614216,1.5,17.914019537235667,6.252265915374446,TAKE_PROFIT,30.6,high
BTC-USDT,SHORT,2025-05-30 17:30:00+00:00,2025-06-03 00:30:00+00:00,104073.4,106171.7,285.13245963578584,1.5,-8.623146357096582,-3.0242598012556567,STOP_LOSS,30.325000000000003,high
BTC-USDT,LONG,2025-06-03 01:30:00+00:00,2025-06-05 16:15:00+00:00,106178.8,103984.5,530.6880656766529,2.0,-21.934488287949783,-4.133216800340564,STOP_LOSS,66.075,high
BTC-USDT,SHORT,2025-06-05 17:30:00+00:00,2025-06-07 12:30:00+00:00,103300.0,105575.2,277.24563706334504,1.5,-9.159573186541943,-3.303775411423035,STOP_LOSS,29.3,high
BTC-USDT,LONG,2025-06-07 13:15:00+00:00,2025-06-09 21:15:00+00:00,105442.7,110531.4,529.0680456400434,2.0,51.066001986832404,9.65206695200331,TAKE_PROFIT,66.075,high
BTC-USDT,LONG,2025-06-09 22:00:00+00:00,2025-06-12 04:15:00+00:00,109869.2,107572.3,547.0564537962143,2.0,-22.873270556707823,-4.181153589905077,STOP_LOSS,68.3,high
BTC-USDT,SHORT,2025-06-12 05:15:00+00:00,2025-06-13 01:00:00+00:00,107814.7,102868.8,286.52849630590293,1.5,19.716346053173137,6.881111759342642,TAKE_PROFIT,30.575,high
BTC-USDT,SHORT,2025-06-13 02:00:00+00:00,2025-06-13 16:00:00+00:00,103688.2,105810.1,278.81913552849926,1.5,-8.558731712160956,-3.069635696250888,STOP_LOSS,29.375,high
BTC-USDT,LONG,2025-06-13 17:15:00+00:00,2025-06-20 17:15:00+00:00,105001.0,102890.0,505.1424192613907,2.0,-20.311342693132367,-4.0209140865325095,STOP_LOSS,62.3,high
BTC-USDT,SHORT,2025-06-20 18:00:00+00:00,2025-06-22 15:45:00+00:00,103186.1,98846.5,283.69569098240163,1.5,17.896681150667074,6.308407818494942,TAKE_PROFIT,30.200000000000003,high
BTC-USDT,SHORT,2025-06-22 17:30:00+00:00,2025-06-23 05:45:00+00:00,99589.9,101707.6,305.3488266165912,1.5,-9.739499840736244,-3.1896306753998327,STOP_LOSS,33.275,high
