config_name,position_size,stop_loss,take_profit,total_return,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate,total_trades,profit_factor,expectancy,final_capital
pos5_sl1.5_tp3,0.05,0.015,0.03,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl1.5_tp4,0.05,0.015,0.04,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl1.5_tp5,0.05,0.015,0.05,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl2.0_tp3,0.05,0.02,0.03,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl2.0_tp4,0.05,0.02,0.04,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl2.0_tp5,0.05,0.02,0.05,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl2.5_tp3,0.05,0.025,0.03,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl2.5_tp4,0.05,0.025,0.04,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos5_sl2.5_tp5,0.05,0.025,0.05,-3.797205911980673,0.20616659133651613,0.1813003907248409,-3.819007848752862,41.0958904109589,73,0.5252487967914364,-0.8344828457804142,9620.279408801933
pos10_sl1.5_tp3,0.1,0.015,0.03,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl1.5_tp4,0.1,0.015,0.04,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl1.5_tp5,0.1,0.015,0.05,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl2.0_tp3,0.1,0.02,0.03,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl2.0_tp4,0.1,0.02,0.04,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl2.0_tp5,0.1,0.02,0.05,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl2.5_tp3,0.1,0.025,0.03,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl2.5_tp4,0.1,0.025,0.04,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos10_sl2.5_tp5,0.1,0.025,0.05,-7.575421556264282,0.8272851122010055,0.7413034066016884,-7.617313799030892,41.0958904109589,73,0.5252164871358272,-1.6672628371212448,9242.457844373572
pos15_sl1.5_tp3,0.15,0.015,0.03,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl1.5_tp4,0.15,0.015,0.04,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl1.5_tp5,0.15,0.015,0.05,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl2.0_tp3,0.15,0.02,0.03,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl2.0_tp4,0.15,0.02,0.04,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl2.0_tp5,0.15,0.02,0.05,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl2.5_tp3,0.15,0.025,0.03,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl2.5_tp4,0.15,0.025,0.04,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
pos15_sl2.5_tp5,0.15,0.025,0.05,-11.33465679870831,1.470507978739642,1.3452287119757695,-11.394974993314468,41.0958904109589,73,0.5251843486449929,-2.4983359940826655,8866.534320129169
