config_name,position_size,stop_loss,take_profit,total_return,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate,total_trades,profit_factor,expectancy,final_capital
pos5_sl1.5_tp3,0.05,0.015,0.03,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl1.5_tp4,0.05,0.015,0.04,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl1.5_tp5,0.05,0.015,0.05,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl2.0_tp3,0.05,0.02,0.03,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl2.0_tp4,0.05,0.02,0.04,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl2.0_tp5,0.05,0.02,0.05,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl2.5_tp3,0.05,0.025,0.03,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl2.5_tp4,0.05,0.025,0.04,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos5_sl2.5_tp5,0.05,0.025,0.05,2.2370791072718204,1.3444008873235749,0.953602255045668,-4.489299136237585,47.368421052631575,38,1.3309594733690253,2.836101416583114,10223.707910727182
pos10_sl1.5_tp3,0.1,0.015,0.03,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl1.5_tp4,0.1,0.015,0.04,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl1.5_tp5,0.1,0.015,0.05,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl2.0_tp3,0.1,0.02,0.03,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl2.0_tp4,0.1,0.02,0.04,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl2.0_tp5,0.1,0.02,0.05,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl2.5_tp3,0.1,0.025,0.03,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl2.5_tp4,0.1,0.025,0.04,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos10_sl2.5_tp5,0.1,0.025,0.05,4.507921304277388,2.293530243943789,1.6597536172120733,-8.908040620403842,47.368421052631575,38,1.3349795330944223,5.8029894695904645,10450.792130427739
pos15_sl1.5_tp3,0.15,0.015,0.03,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl1.5_tp4,0.15,0.015,0.04,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl1.5_tp5,0.15,0.015,0.05,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl2.0_tp3,0.15,0.02,0.03,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl2.0_tp4,0.15,0.02,0.04,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl2.0_tp5,0.15,0.02,0.05,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl2.5_tp3,0.15,0.025,0.03,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl2.5_tp4,0.15,0.025,0.04,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
pos15_sl2.5_tp5,0.15,0.025,0.05,6.81258240526362,3.2754032805446567,2.421856055518093,-13.256894482315326,47.368421052631575,38,1.3389365997782745,8.902197203307257,10681.258240526362
