symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,duration_hours,exit_reason,signal_score,commission_total
BTC-USDT,LONG,2025-09-14 23:30:00,2025-09-15 01:00:00,115319.10389999999,114667.5177,0.006070113071698956,-4.372828788812618,-0.6246898269732312,1.5,stop_loss,70.0,0.8376268788540248
BTC-USDT,LONG,2025-09-15 01:00:00,2025-09-15 04:15:00,114897.0823,115792.092,0.006089488853667636,5.027082799928359,0.7184990499972076,3.25,take_profit,70.0,0.8428674933369842
BTC-USDT,SHORT,2025-09-15 04:15:00,2025-09-15 05:30:00,115792.092,116448.33199999998,0.006045205676668271,-4.389478243843612,-0.6270799556846905,1.25,stop_loss,70.0,0.8423646777099876
BTC-USDT,SHORT,2025-09-15 05:30:00,2025-09-15 07:30:00,116215.668,115870.05429999999,0.0060250545885808015,1.6634673676578937,0.2375683693699685,2.0,take_profit,70.0,0.8389974876526227
BTC-USDT,LONG,2025-09-15 07:30:00,2025-09-15 08:45:00,115870.05429999999,114560.42490000001,0.00604126108557121,-8.327066792876753,-1.1895788461194985,1.25,stop_loss,70.0,0.8352544121522916
BTC-USDT,LONG,2025-09-15 08:45:00,2025-09-16 05:00:00,114789.7751,115670.0142,0.006092780952731482,4.940252786737576,0.706367000696394,20.25,take_profit,70.0,0.8424846087705303
BTC-USDT,LONG,2025-09-16 08:30:00,2025-09-16 13:30:00,115685.56999999999,114907.4775,0.006048337736993125,-5.123165770076879,-0.7321889726609799,5.0,stop_loss,70.0,0.8368227786494988
BTC-USDT,SHORT,2025-09-16 15:30:00,2025-09-16 15:45:00,115184.10059999999,116016.00009999999,0.00607130138433282,-5.47333344718291,-0.7826680031045878,0.25,stop_loss,70.0,0.8422112948626783
BTC-USDT,SHORT,2025-09-16 15:45:00,2025-09-16 17:15:00,115784.1999,116840.02329999999,0.006042378710744008,-6.803279836075682,-0.9724361484143912,1.5,stop_loss,70.0,0.8433621923202252
BTC-USDT,SHORT,2025-09-16 17:15:00,2025-09-17 14:15:00,116606.5767,115715.70009999999,0.006003087878157723,4.931219608444766,0.7044604199756237,21.0,take_profit,70.0,0.8367906262104498
BTC-USDT,SHORT,2025-09-17 17:30:00,2025-09-17 18:30:00,115859.92409999999,114970.6558,0.006038037711964257,4.9529172381605235,0.7079979664167553,1.0,take_profit,70.0,0.8362582479064671
BTC-USDT,SHORT,2025-09-17 19:15:00,2025-09-18 02:45:00,115575.309,117025.7088,0.00604914837352121,-9.198427116754097,-1.315692113165797,7.5,stop_loss,70.0,0.8442228411025487
BTC-USDT,LONG,2025-09-18 06:00:00,2025-09-19 09:45:00,117157.04,116324.4591,0.005972216903986844,-5.389182665507073,-0.7702273593289835,27.75,stop_loss,70.0,0.8366412934159254
BTC-USDT,SHORT,2025-09-19 21:45:00,2025-09-20 07:30:00,115293.8907,115971.9561,0.0060652010337420206,-4.534638901838332,-0.6484719781080233,9.75,stop_loss,70.0,0.8416043118483502
BTC-USDT,LONG,2025-09-20 09:30:00,2025-09-20 14:30:00,115727.9123,115764.12,0.006044432851688986,-0.20098205862082616,-0.02873185158115133,5.0,take_profit,70.0,0.8395428269630206
BTC-USDT,LONG,2025-09-20 17:00:00,2025-09-20 18:45:00,115956.74089999998,115538.54579999999,0.006032130097720003,-2.9407733731691104,-0.420431122585977,1.75,stop_loss,70.0,0.8378458118300345
BTC-USDT,LONG,2025-09-20 18:45:00,2025-09-21 01:45:00,115769.85419999999,115323.0615,0.006039835844434551,-3.116473980814216,-0.4457002563107581,7.0,stop_loss,70.0,0.8374579653838511
BTC-USDT,SHORT,2025-09-21 02:45:00,2025-09-21 16:15:00,115518.46590000001,115476.06069999999,0.006050836883776781,-0.1626491361420142,-0.02326938486462112,13.5,take_profit,70.0,0.8386261209011021
BTC-USDT,SHORT,2025-09-21 17:45:00,2025-09-21 22:00:00,115449.3351,115289.2741,0.006053796054388813,0.5502139986655789,0.07872495364419083,4.25,take_profit,70.0,0.8381066891820732
BTC-USDT,SHORT,2025-09-21 22:30:00,2025-09-22 00:30:00,115339.0455,114890.8761,0.00605848809002352,2.2975899695104496,0.3288000804029534,2.0,take_profit,70.0,0.8369071427883891
BTC-USDT,SHORT,2025-09-22 05:15:00,2025-09-22 05:45:00,114351.2343,113707.89429999999,0.006108649270158168,3.5131774341474733,0.5029375213486533,0.5,take_profit,70.0,0.8358799376851785
BTC-USDT,SHORT,2025-09-22 10:45:00,2025-09-22 14:15:00,112619.9673,113438.22489999999,0.006199593139672667,-5.494826707964926,-0.7870012362718762,3.5,stop_loss,70.0,0.840881290517955
BTC-USDT,SHORT,2025-09-22 14:15:00,2025-09-22 17:00:00,113211.57509999999,112361.24899999998,0.00616981271438158,4.830404065540141,0.6915453211462347,2.75,take_profit,70.0,0.8350452468906837
BTC-USDT,LONG,2025-09-22 17:45:00,2025-09-23 02:45:00,112437.32499999998,111644.244,0.006208512321020109,-5.339739958733789,-0.7649306370459958,9.0,stop_loss,70.0,0.8347279092300105
BTC-USDT,SHORT,2025-09-23 04:45:00,2025-09-23 07:45:00,112272.51509999999,113149.43639999998,0.006214035699732815,-5.871089046372578,-0.8415336211168455,3.0,stop_loss,70.0,0.8404680324746633
BTC-USDT,LONG,2025-09-23 09:45:00,2025-09-23 16:00:00,112991.17829999999,112411.17629999999,0.0061773674731773484,-3.9995285756361003,-0.5730081901269926,6.25,stop_loss,70.0,0.8354359042101758
BTC-USDT,LONG,2025-09-23 16:00:00,2025-09-23 17:30:00,112636.22369999999,111858.03,0.006194088581548078,-5.235915839229059,-0.7504766142119774,1.5,stop_loss,70.0,0.8343223760797963
BTC-USDT,SHORT,2025-09-23 21:15:00,2025-09-24 05:45:00,111899.38859999999,112700.6881,0.006231338161866787,-5.414533812610532,-0.7765189101846516,8.5,stop_loss,70.0,0.8397354174593503
BTC-USDT,LONG,2025-09-24 13:45:00,2025-09-24 14:30:00,112883.07029999999,113206.2804,0.006179612841060894,1.5775706938914964,0.22615112353124148,0.75,take_profit,70.0,0.8382867928877038
BTC-USDT,LONG,2025-09-24 19:00:00,2025-09-25 00:45:00,113649.536,112889.29770000001,0.006138650690299869,-5.082630144239436,-0.7285308042260575,5.75,stop_loss,70.0,0.8343856607233393
BTC-USDT,SHORT,2025-09-25 08:00:00,2025-09-25 12:15:00,111831.6564,111175.36429999999,0.006234994092485363,3.6760707226606963,0.5272092897481402,4.25,take_profit,70.0,0.8342684739883566
BTC-USDT,SHORT,2025-09-25 13:15:00,2025-09-25 17:00:00,111453.1353,110220.00989999998,0.006253075590220949,7.297297906345802,1.0470709423461315,3.75,take_profit,70.0,0.8316833599545742
