2025-10-20 02:40:31 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:31 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=CFX analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:31 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4625 digest cache entries
2025-10-20 02:40:31 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for CFX (digest: a9e93575...)
2025-10-20 02:40:31 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=CFX conf=0.50 title="Hyperliquid Dominates Fees and Trading Volume, Lea..."
2025-10-20 02:40:32 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:32 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=BIO digest=CHANGED run=YES items=44
2025-10-20 02:40:32 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=BIO digest=CHANGED run=YES items=30
2025-10-20 02:40:32 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:32 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=BIO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:32 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4626 digest cache entries
2025-10-20 02:40:32 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for BIO (digest: 787f1f77...)
2025-10-20 02:40:32 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=BIO conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:33 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:33 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=PENGU digest=CHANGED run=YES items=44
2025-10-20 02:40:33 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=PENGU digest=CHANGED run=YES items=30
2025-10-20 02:40:33 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:33 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=BIO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:33 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4626 digest cache entries
2025-10-20 02:40:33 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for BIO (digest: 1fa8c296...)
2025-10-20 02:40:33 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=BIO conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:34 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:34 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=PENGU digest=CHANGED run=YES items=44
2025-10-20 02:40:34 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=PENGU digest=CHANGED run=YES items=30
2025-10-20 02:40:35 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:35 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=PENGU analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:35 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4627 digest cache entries
2025-10-20 02:40:35 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for PENGU (digest: 5766ea25...)
2025-10-20 02:40:35 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=PENGU conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:35 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:35 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=CRO digest=CHANGED run=YES items=46
2025-10-20 02:40:35 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=CRO digest=CHANGED run=YES items=30
2025-10-20 02:40:36 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:36 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=PENGU analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:36 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4627 digest cache entries
2025-10-20 02:40:36 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for PENGU (digest: 09da2d29...)
2025-10-20 02:40:36 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=PENGU conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:36 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:36 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=CRO digest=CHANGED run=YES items=46
2025-10-20 02:40:36 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=CRO digest=CHANGED run=YES items=30
2025-10-20 02:40:37 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:37 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=CRO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:37 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4628 digest cache entries
2025-10-20 02:40:37 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for CRO (digest: bb3c4598...)
2025-10-20 02:40:37 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=CRO conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:38 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:38 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=LDO digest=CHANGED run=YES items=11
2025-10-20 02:40:38 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=LDO digest=CHANGED run=YES items=11
2025-10-20 02:40:38 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:38 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=CRO analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:38 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4628 digest cache entries
2025-10-20 02:40:38 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for CRO (digest: 05656f31...)
2025-10-20 02:40:38 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=CRO conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:38 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:38 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=LDO digest=CHANGED run=YES items=11
2025-10-20 02:40:38 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=LDO digest=CHANGED run=YES items=11
