timestamp,open,high,low,close,volume
2025-05-04 23:45:00,1804.23,1808.78,1803.68,1807.86,23044.444
2025-05-05 00:00:00,1807.85,1812.5,1805.42,1811.59,31611.755
2025-05-05 00:15:00,1811.58,1816.68,1809.0,1815.66,26985.409
2025-05-05 00:30:00,1815.66,1816.19,1812.5,1813.32,17248.219
2025-05-05 00:45:00,1813.33,1817.86,1813.31,1815.01,17405.941
2025-05-05 01:00:00,1815.0,1816.35,1808.55,1812.0,27439.242
2025-05-05 01:15:00,1811.99,1813.33,1802.99,1802.99,39204.721
2025-05-05 01:30:00,1802.99,1803.67,1780.01,1791.04,205955.621
2025-05-05 01:45:00,1791.01,1792.59,1786.15,1790.83,34394.649
2025-05-05 02:00:00,1790.82,1792.0,1781.0,1791.7,99165.708
2025-05-05 02:15:00,1791.7,1798.0,1791.41,1793.79,72769.526
2025-05-05 02:30:00,1793.79,1799.95,1793.79,1797.25,38336.589
2025-05-05 02:45:00,1797.25,1801.67,1797.1,1798.36,26220.223
2025-05-05 03:00:00,1798.36,1799.9,1794.4,1794.78,19772.092
2025-05-05 03:15:00,1794.78,1796.76,1792.23,1793.44,24965.901
2025-05-05 03:30:00,1793.45,1797.23,1793.44,1797.2,16410.153
2025-05-05 03:45:00,1797.21,1797.24,1793.22,1793.71,8859.883
2025-05-05 04:00:00,1793.7,1797.0,1791.89,1795.9,16334.769
2025-05-05 04:15:00,1795.9,1799.18,1795.89,1798.74,15705.965
2025-05-05 04:30:00,1798.73,1803.0,1798.04,1802.29,27872.285
2025-05-05 04:45:00,1802.3,1804.76,1801.0,1803.96,19102.33
2025-05-05 05:00:00,1803.95,1806.35,1800.2,1801.3,27399.242
2025-05-05 05:15:00,1801.3,1804.47,1800.68,1803.86,9910.321
2025-05-05 05:30:00,1803.86,1806.59,1802.5,1804.99,16261.849
2025-05-05 05:45:00,1805.0,1817.81,1804.82,1815.52,65435.784
2025-05-05 06:00:00,1815.53,1821.33,1810.78,1811.27,68944.096
2025-05-05 06:15:00,1811.26,1815.21,1811.26,1814.86,16296.176
2025-05-05 06:30:00,1814.85,1820.85,1813.79,1817.99,35470.148
2025-05-05 06:45:00,1818.0,1819.98,1816.58,1819.11,20020.327
2025-05-05 07:00:00,1819.1,1819.66,1815.62,1817.72,25897.584
2025-05-05 07:15:00,1817.73,1823.69,1816.1,1819.62,35198.935
2025-05-05 07:30:00,1819.61,1829.17,1819.41,1827.0,53465.525
2025-05-05 07:45:00,1827.0,1827.97,1823.47,1825.57,24198.794
2025-05-05 08:00:00,1825.58,1827.47,1822.5,1823.66,27733.231
2025-05-05 08:15:00,1823.66,1827.92,1823.0,1825.52,17469.168
2025-05-05 08:30:00,1825.51,1831.25,1824.19,1827.62,39641.286
