timestamp,open,high,low,close,volume
2025-05-04 23:45:00,143.64,144.11,143.6,143.86,48798.19
2025-05-05 00:00:00,143.86,144.54,143.65,144.43,76443.3
2025-05-05 00:15:00,144.43,145.3,144.29,145.29,74539.24
2025-05-05 00:30:00,145.3,145.38,144.74,144.79,63875.41
2025-05-05 00:45:00,144.79,145.25,144.79,145.06,27980.52
2025-05-05 01:00:00,145.06,145.14,144.33,144.55,77918.85
2025-05-05 01:15:00,144.54,144.72,143.9,143.94,91185.38
2025-05-05 01:30:00,143.94,143.99,142.85,143.14,213982.48
2025-05-05 01:45:00,143.14,143.46,142.79,143.13,92882.18
2025-05-05 02:00:00,143.12,143.97,142.41,143.67,266980.7
2025-05-05 02:15:00,143.67,144.76,143.66,144.6,145834.2
2025-05-05 02:30:00,144.6,144.99,144.59,144.59,53347.44
2025-05-05 02:45:00,144.59,144.95,144.58,144.67,45263.18
2025-05-05 03:00:00,144.67,145.07,144.41,144.47,63103.92
2025-05-05 03:15:00,144.47,144.81,144.26,144.54,55418.14
2025-05-05 03:30:00,144.54,145.24,144.54,145.23,54220.22
2025-05-05 03:45:00,145.23,145.23,144.79,144.83,31004.06
2025-05-05 04:00:00,144.82,145.32,144.8,145.26,37114.44
2025-05-05 04:15:00,145.26,145.89,145.26,145.75,110901.28
2025-05-05 04:30:00,145.75,146.43,145.68,146.32,108371.95
2025-05-05 04:45:00,146.32,146.46,146.01,146.26,65552.48
2025-05-05 05:00:00,146.26,146.43,145.92,146.1,72161.16
2025-05-05 05:15:00,146.1,146.43,146.04,146.41,37350.86
2025-05-05 05:30:00,146.41,146.61,146.16,146.33,64308.22
2025-05-05 05:45:00,146.33,147.1,146.32,146.95,123692.34
2025-05-05 06:00:00,146.95,147.34,146.54,146.57,95578.13
2025-05-05 06:15:00,146.56,146.92,146.5,146.74,47187.97
2025-05-05 06:30:00,146.74,146.97,146.65,146.65,29877.27
2025-05-05 06:45:00,146.66,146.85,146.54,146.71,31809.06
2025-05-05 07:00:00,146.7,146.83,146.46,146.7,63281.42
2025-05-05 07:15:00,146.71,147.16,146.7,146.87,53143.88
2025-05-05 07:30:00,146.87,147.0,146.71,146.81,59900.65
2025-05-05 07:45:00,146.81,146.84,146.59,146.81,39219.67
2025-05-05 08:00:00,146.8,147.0,146.45,146.55,54700.67
2025-05-05 08:15:00,146.55,146.71,146.34,146.34,42113.74
2025-05-05 08:30:00,146.34,146.92,146.28,146.84,51505.31
2025-05-05 08:45:00,146.85,146.98,146.41,146.53,36935.21
2025-05-05 09:00:00,146.54,146.65,146.31,146.33,44091.95
2025-05-05 09:15:00,146.34,146.65,146.26,146.57,21352.22
2025-05-05 09:30:00,146.57,146.73,146.32,146.37,25085.87
2025-05-05 09:45:00,146.38,146.45,146.03,146.08,29085.56
2025-05-05 10:00:00,146.08,146.13,145.52,145.53,114350.54
2025-05-05 10:15:00,145.54,145.59,144.91,144.94,88244.33
2025-05-05 10:30:00,144.93,145.24,144.23,144.23,217394.17
2025-05-05 10:45:00,144.24,144.4,143.62,144.11,150139.91
2025-05-05 11:00:00,144.1,144.55,144.05,144.39,101192.93
2025-05-05 11:15:00,144.4,144.57,143.73,143.88,82689.64
2025-05-05 11:30:00,143.89,144.05,143.49,143.78,96610.49
2025-05-05 11:45:00,143.77,144.28,143.74,144.1,59122.83
2025-05-05 12:00:00,144.1,144.6,143.8,144.57,126581.67
2025-05-05 12:15:00,144.57,144.9,144.33,144.8,94403.8
2025-05-05 12:30:00,144.8,144.86,144.57,144.63,45810.17
2025-05-05 12:45:00,144.63,144.66,144.2,144.54,68900.35
2025-05-05 13:00:00,144.53,144.79,143.94,144.11,94305.38
