timestamp,open,high,low,close,volume
2025-08-22 12:00:00,179.52,195.4,177.11,193.47,8346864.13
2025-08-22 16:00:00,193.48,199.8,193.48,198.98,2729057.86
2025-08-22 20:00:00,198.98,202.46,198.39,200.68,1488920.93
2025-08-23 00:00:00,200.69,200.83,195.26,198.2,1669462.78
2025-08-23 04:00:00,198.2,208.78,198.13,205.27,3485859.69
2025-08-23 08:00:00,205.28,205.79,201.67,202.1,1587188.22
2025-08-23 12:00:00,202.11,203.92,200.65,202.65,1579002.43
2025-08-23 16:00:00,202.65,204.66,202.17,204.19,771541.05
2025-08-23 20:00:00,204.19,204.97,202.89,204.25,555102.33
2025-08-24 00:00:00,204.25,212.15,204.24,209.13,3024956.06
2025-08-24 04:00:00,209.12,210.83,206.68,206.76,1923828.73
2025-08-24 08:00:00,206.77,209.1,203.52,204.61,2156252.84
2025-08-24 12:00:00,204.62,209.46,203.68,205.69,1988378.07
2025-08-24 16:00:00,205.68,212.1,201.56,205.1,4599775.24
2025-08-24 20:00:00,205.11,207.2,201.13,206.06,2444944.09
2025-08-25 00:00:00,206.06,213.69,202.29,209.34,4114084.88
2025-08-25 04:00:00,209.34,209.84,198.62,199.88,3788131.17
2025-08-25 08:00:00,199.87,200.85,195.01,197.54,3218925.8
2025-08-25 12:00:00,197.53,199.44,195.51,196.49,2478694.23
2025-08-25 16:00:00,196.5,198.33,190.91,191.41,2233782.59
2025-08-25 20:00:00,191.41,192.11,185.14,187.07,3013856.46
2025-08-26 00:00:00,187.07,189.21,185.44,186.81,1678387.58
2025-08-26 04:00:00,186.81,189.84,186.81,188.78,1162335.97
2025-08-26 08:00:00,188.78,190.25,186.55,187.85,1155515.97
2025-08-26 12:00:00,187.85,192.47,187.08,190.68,2871102.01
2025-08-26 16:00:00,190.68,197.47,190.45,197.37,1791071.84
2025-08-26 20:00:00,197.36,198.13,195.24,195.82,1076178.43
2025-08-27 00:00:00,195.83,202.83,193.73,201.92,2602739.53
2025-08-27 04:00:00,201.93,205.79,200.75,202.4,3124801.82
2025-08-27 08:00:00,202.41,205.41,201.5,204.95,1922654.96
2025-08-27 12:00:00,204.95,209.4,202.54,208.59,3512053.86
2025-08-27 16:00:00,208.59,212.14,205.86,206.35,3153472.65
2025-08-27 20:00:00,206.35,209.45,202.53,202.96,4026971.06
2025-08-28 00:00:00,202.97,208.29,201.67,208.07,2034152.84
2025-08-28 04:00:00,208.07,213.32,207.39,213.07,2975666.88
2025-08-28 08:00:00,213.07,216.57,211.3,213.13,3289291.83
2025-08-28 12:00:00,213.13,216.92,210.13,211.0,4382107.45
2025-08-28 16:00:00,211.01,213.99,207.05,209.87,3131691.59
2025-08-28 20:00:00,209.87,215.68,209.56,214.36,1424851.21
2025-08-29 00:00:00,214.35,217.94,212.04,216.77,3170679.03
2025-08-29 04:00:00,216.77,217.8,207.77,208.74,4664195.07
2025-08-29 08:00:00,208.74,210.0,205.22,207.56,3336593.19
2025-08-29 12:00:00,207.56,215.0,203.51,204.32,6489893.55
2025-08-29 16:00:00,204.31,205.38,201.21,202.89,2967622.68
2025-08-29 20:00:00,202.89,205.42,199.75,204.96,1654513.12
2025-08-30 00:00:00,204.96,206.57,200.6,205.53,1980184.18
2025-08-30 04:00:00,205.53,206.93,204.24,205.0,1224995.23
2025-08-30 08:00:00,205.0,205.45,201.53,202.5,1446882.73
2025-08-30 12:00:00,202.5,202.55,197.42,200.94,2488132.51
2025-08-30 16:00:00,200.93,201.54,199.56,201.14,935094.77
2025-08-30 20:00:00,201.15,203.21,199.67,202.59,636633.87
2025-08-31 00:00:00,202.59,206.55,202.58,205.46,1418447.72
2025-08-31 04:00:00,205.46,205.53,202.63,203.41,999102.4
2025-08-31 08:00:00,203.41,205.75,202.06,203.56,1265186.37
2025-08-31 12:00:00,203.56,204.8,201.42,204.48,1242505.27
2025-08-31 16:00:00,204.48,205.88,203.58,204.54,862337.71
2025-08-31 20:00:00,204.54,205.69,200.19,200.55,1116218.16
2025-09-01 00:00:00,200.54,202.43,196.0,198.32,2688740.21
2025-09-01 04:00:00,198.31,202.84,196.56,202.83,1603890.54
2025-09-01 08:00:00,202.82,204.46,198.27,199.28,1781517.26
2025-09-01 12:00:00,199.29,201.05,197.58,198.27,1209698.04
2025-09-01 16:00:00,198.27,200.05,197.13,200.04,977686.11
2025-09-01 20:00:00,200.04,200.06,194.06,197.2,2001626.98
2025-09-02 00:00:00,197.2,203.29,196.65,201.78,2066070.46
2025-09-02 04:00:00,201.78,204.38,201.34,202.02,1576880.53
2025-09-02 08:00:00,202.02,204.33,201.59,201.87,1177337.58
2025-09-02 12:00:00,201.86,205.13,197.23,200.2,4488373.64
2025-09-02 16:00:00,200.19,206.96,199.36,205.39,2229370.09
2025-09-02 20:00:00,205.4,209.63,204.79,209.52,1401523.66
2025-09-03 00:00:00,209.53,211.87,207.3,209.92,2309975.7
2025-09-03 04:00:00,209.92,210.4,207.89,209.24,1328006.03
2025-09-03 08:00:00,209.24,211.2,207.98,210.21,1805014.55
2025-09-03 12:00:00,210.22,212.98,208.66,211.26,2655712.11
2025-09-03 16:00:00,211.26,211.88,208.74,210.27,1107145.68
2025-09-03 20:00:00,210.27,210.84,208.25,210.61,673582.7
2025-09-04 00:00:00,210.61,211.84,207.38,208.09,1434233.5
2025-09-04 04:00:00,208.09,208.46,205.55,206.56,1360264.04
2025-09-04 08:00:00,206.56,208.67,206.47,207.1,998168.8
2025-09-04 12:00:00,207.11,208.38,203.22,203.66,2676277.73
2025-09-04 16:00:00,203.67,205.08,201.72,202.03,1312540.2
2025-09-04 20:00:00,202.03,204.71,201.81,202.23,1003389.64
2025-09-05 00:00:00,202.23,203.98,200.82,203.44,1382849.51
2025-09-05 04:00:00,203.45,208.34,202.91,207.74,1533491.33
2025-09-05 08:00:00,207.74,207.86,204.37,206.54,1395767.73
2025-09-05 12:00:00,206.54,209.94,201.5,203.46,4892022.72
2025-09-05 16:00:00,203.46,205.47,201.71,205.36,1338638.85
2025-09-05 20:00:00,205.34,205.6,202.57,203.28,880917.61
2025-09-06 00:00:00,203.28,204.63,203.03,203.96,563351.17
2025-09-06 04:00:00,203.97,203.98,202.02,202.94,618995.58
2025-09-06 08:00:00,202.95,203.48,201.81,202.31,585359.93
2025-09-06 12:00:00,202.31,202.8,200.9,201.14,809385.71
2025-09-06 16:00:00,201.15,202.25,199.17,199.64,1252584.94
2025-09-06 20:00:00,199.64,201.17,199.63,200.1,426198.66
2025-09-07 00:00:00,200.11,203.2,200.03,202.79,764961.81
2025-09-07 04:00:00,202.78,203.27,202.16,202.94,549601.06
2025-09-07 08:00:00,202.94,203.9,202.63,203.88,587256.42
2025-09-07 12:00:00,203.88,205.47,203.0,205.08,910494.72
2025-09-07 16:00:00,205.07,205.36,201.36,202.96,1097369.11
