time_utc,open,high,low,close,volume,volCcy,volCcyQuote,confirm,ts
2025-10-20 12:00:00+00:00,110975.8,111189,110727,110806.7,221259.74,2212.5974,245500197.32312,1,1760961600000
2025-10-20 13:00:00+00:00,110806.7,111165.2,110550,111107.3,356004.02,3560.0402,394521049.01583,1,1760965200000
2025-10-20 13:00:00+00:00,110806.7,111165.2,110550,111107.3,356004.02,3560.0402,394521049.01583,1,1760965200000
2025-10-20 14:00:00+00:00,111107.3,111346.1,110681,111161.3,313411.79,3134.1179,348083857.7484,1,1760968800000
2025-10-20 14:00:00+00:00,111107.3,111346.1,110681,111161.3,313411.79,3134.1179,348083857.7484,1,1760968800000
2025-10-20 14:00:00+00:00,111107.3,111346.1,110681,111161.3,313411.79,3134.1179,348083857.7484,1,1760968800000
2025-10-20 15:00:00+00:00,111161.4,111694,110944.5,111092.5,468609.09,4686.0909,521712458.2453,1,1760972400000
2025-10-20 15:00:00+00:00,111161.4,111694,110944.5,111092.5,468609.09,4686.0909,521712458.2453,1,1760972400000
2025-10-20 15:00:00+00:00,111161.4,111694,110944.5,111092.5,468609.09,4686.0909,521712458.2453,1,1760972400000
2025-10-20 15:00:00+00:00,111161.4,111694,110944.5,111092.5,468609.09,4686.0909,521712458.2453,1,1760972400000
2025-10-20 16:00:00+00:00,111092.4,111271.9,110060,110630,980730.02,9807.3002,1085137336.21027,1,1760976000000
2025-10-20 16:00:00+00:00,111092.4,111271.9,110060,110630,980730.02,9807.3002,1085137336.21027,1,1760976000000
2025-10-20 16:00:00+00:00,111092.4,111271.9,110060,110630,980730.02,9807.3002,1085137336.21027,1,1760976000000
2025-10-20 16:00:00+00:00,111092.4,111271.9,110060,110630,980730.02,9807.3002,1085137336.21027,1,1760976000000
2025-10-20 16:00:00+00:00,111092.4,111271.9,110060,110630,980730.02,9807.3002,1085137336.21027,1,1760976000000
2025-10-20 17:00:00+00:00,110630.1,111039.7,109803.1,110242.3,461158.58,4611.5858,508653389.06899,1,1760979600000
2025-10-20 17:00:00+00:00,110630.1,111039.7,109803.1,110242.3,461158.58,4611.5858,508653389.06899,1,1760979600000
2025-10-20 17:00:00+00:00,110630.1,111039.7,109803.1,110242.3,461158.58,4611.5858,508653389.06899,1,1760979600000
2025-10-20 17:00:00+00:00,110630.1,111039.7,109803.1,110242.3,461158.58,4611.5858,508653389.06899,1,1760979600000
2025-10-20 17:00:00+00:00,110630.1,111039.7,109803.1,110242.3,461158.58,4611.5858,508653389.06899,1,1760979600000
