2025-12-09 02:45:21.805 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 23:45:21 | SOL-USDT-SWAP | tf=15m | TA=40.8 ML=54.3 News=40.0 Risk=45.5 | Final=46.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:00:12.547 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:00:12 | BTC-USDT-SWAP | tf=15m | TA=34.2 ML=55.8 News=45.0 Risk=40.5 | Final=44.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:00:16.471 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:00:16 | ETH-USDT-SWAP | tf=15m | TA=48.0 ML=46.1 News=40.0 Risk=43.5 | Final=45.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:00:20.387 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:00:20 | SOL-USDT-SWAP | tf=15m | TA=40.8 ML=54.6 News=45.0 Risk=45.5 | Final=47.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:15:11.047 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:15:11 | BTC-USDT-SWAP | tf=15m | TA=51.8 ML=56.2 News=40.0 Risk=43.5 | Final=49.9 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:15:14.602 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:15:14 | ETH-USDT-SWAP | tf=15m | TA=52.4 ML=42.6 News=40.0 Risk=43.5 | Final=45.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:15:17.164 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:15:17 | SOL-USDT-SWAP | tf=15m | TA=39.6 ML=51.7 News=50.0 Risk=42.5 | Final=46.0 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:30:10.563 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:30:10 | BTC-USDT-SWAP | tf=15m | TA=48.0 ML=58.5 News=40.0 Risk=43.5 | Final=49.6 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:30:13.432 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:30:13 | ETH-USDT-SWAP | tf=15m | TA=59.1 ML=43.6 News=45.0 Risk=43.5 | Final=48.4 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:30:16.132 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:30:16 | SOL-USDT-SWAP | tf=15m | TA=41.0 ML=54.4 News=45.0 Risk=45.5 | Final=47.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:45:11.313 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:45:11 | BTC-USDT-SWAP | tf=15m | TA=48.0 ML=51.1 News=45.0 Risk=43.5 | Final=47.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:45:14.561 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:45:14 | ETH-USDT-SWAP | tf=15m | TA=48.0 ML=51.7 News=45.0 Risk=43.5 | Final=47.9 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 03:45:17.813 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 00:45:17 | SOL-USDT-SWAP | tf=15m | TA=41.0 ML=49.9 News=50.0 Risk=45.5 | Final=46.4 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:00:09.954 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:00:09 | BTC-USDT-SWAP | tf=15m | TA=48.0 ML=48.8 News=50.0 Risk=43.5 | Final=47.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:00:13.947 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:00:13 | ETH-USDT-SWAP | tf=15m | TA=48.0 ML=45.0 News=45.0 Risk=43.5 | Final=45.6 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:00:16.991 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:00:16 | SOL-USDT-SWAP | tf=15m | TA=41.1 ML=47.5 News=45.0 Risk=45.5 | Final=44.8 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:15:11.189 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:15:11 | BTC-USDT-SWAP | tf=15m | TA=48.0 ML=56.0 News=45.0 Risk=43.5 | Final=49.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:15:14.809 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:15:14 | ETH-USDT-SWAP | tf=15m | TA=48.0 ML=51.5 News=40.0 Risk=43.5 | Final=47.1 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:15:17.737 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:15:17 | SOL-USDT-SWAP | tf=15m | TA=41.1 ML=47.5 News=45.0 Risk=45.5 | Final=44.8 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:30:09.922 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:30:09 | BTC-USDT-SWAP | tf=15m | TA=49.5 ML=58.3 News=35.0 Risk=43.5 | Final=49.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:30:13.421 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:30:13 | ETH-USDT-SWAP | tf=15m | TA=49.5 ML=45.8 News=45.0 Risk=43.5 | Final=46.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:30:16.550 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:30:16 | SOL-USDT-SWAP | tf=15m | TA=41.0 ML=54.5 News=40.0 Risk=45.5 | Final=46.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:45:12.943 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:45:12 | BTC-USDT-SWAP | tf=15m | TA=49.5 ML=51.3 News=45.0 Risk=43.5 | Final=48.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:45:16.666 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:45:16 | ETH-USDT-SWAP | tf=15m | TA=49.5 ML=45.6 News=40.0 Risk=43.5 | Final=45.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 04:45:19.527 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 01:45:19 | SOL-USDT-SWAP | tf=15m | TA=41.1 ML=54.5 News=40.0 Risk=45.5 | Final=46.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:00:11.475 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:00:11 | BTC-USDT-SWAP | tf=15m | TA=49.5 ML=51.1 News=45.0 Risk=43.5 | Final=48.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:00:14.530 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:00:14 | ETH-USDT-SWAP | tf=15m | TA=49.5 ML=51.3 News=45.0 Risk=43.5 | Final=48.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:00:17.802 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:00:17 | SOL-USDT-SWAP | tf=15m | TA=39.9 ML=47.0 News=40.0 Risk=42.5 | Final=42.9 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:15:10.162 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:15:10 | BTC-USDT-SWAP | tf=15m | TA=49.5 ML=50.1 News=45.0 Risk=43.5 | Final=47.8 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:15:12.893 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:15:12 | ETH-USDT-SWAP | tf=15m | TA=49.5 ML=42.6 News=40.0 Risk=43.5 | Final=44.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:15:16.279 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:15:16 | SOL-USDT-SWAP | tf=15m | TA=40.1 ML=48.5 News=40.0 Risk=45.5 | Final=44.1 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:30:10.413 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:30:10 | BTC-USDT-SWAP | tf=15m | TA=48.0 ML=53.6 News=40.0 Risk=43.5 | Final=47.9 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:30:13.540 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:30:13 | ETH-USDT-SWAP | tf=15m | TA=48.0 ML=46.7 News=50.0 Risk=43.5 | Final=47.0 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:30:16.324 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:30:16 | SOL-USDT-SWAP | tf=15m | TA=44.3 ML=50.3 News=40.0 Risk=45.5 | Final=46.0 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:45:10.592 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:45:10 | BTC-USDT-SWAP | tf=15m | TA=48.0 ML=53.1 News=40.0 Risk=43.5 | Final=47.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:45:13.722 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:45:13 | ETH-USDT-SWAP | tf=15m | TA=48.0 ML=44.9 News=40.0 Risk=43.5 | Final=44.8 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 05:45:16.685 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 02:45:16 | SOL-USDT-SWAP | tf=15m | TA=44.2 ML=51.1 News=50.0 Risk=45.5 | Final=47.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:00:11.192 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:00:11 | BTC-USDT-SWAP | tf=15m | TA=49.5 ML=54.8 News=45.0 Risk=43.5 | Final=49.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:00:14.183 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:00:14 | ETH-USDT-SWAP | tf=15m | TA=35.8 ML=51.1 News=45.0 Risk=40.5 | Final=43.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:00:17.841 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:00:17 | SOL-USDT-SWAP | tf=15m | TA=41.4 ML=49.8 News=45.0 Risk=45.5 | Final=45.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:15:10.180 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:15:10 | BTC-USDT-SWAP | tf=15m | TA=49.5 ML=50.5 News=40.0 Risk=43.5 | Final=47.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:15:13.479 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:15:13 | ETH-USDT-SWAP | tf=15m | TA=35.8 ML=48.0 News=40.0 Risk=40.5 | Final=41.6 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:15:16.375 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:15:16 | SOL-USDT-SWAP | tf=15m | TA=39.8 ML=48.3 News=50.0 Risk=42.5 | Final=44.9 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:30:11.986 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:30:11 | BTC-USDT-SWAP | tf=15m | TA=49.5 ML=44.9 News=45.0 Risk=43.5 | Final=46.0 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:30:14.678 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:30:14 | ETH-USDT-SWAP | tf=15m | TA=35.8 ML=50.9 News=40.0 Risk=40.5 | Final=42.6 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:30:18.045 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:30:18 | SOL-USDT-SWAP | tf=15m | TA=39.9 ML=55.0 News=45.0 Risk=42.5 | Final=46.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:45:10.147 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:45:10 | BTC-USDT-SWAP | tf=15m | TA=42.2 ML=49.2 News=40.0 Risk=43.5 | Final=44.6 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:45:13.937 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:45:13 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=45.7 News=60.0 Risk=43.5 | Final=47.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 06:45:17.373 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 03:45:17 | SOL-USDT-SWAP | tf=15m | TA=44.1 ML=47.6 News=45.0 Risk=45.5 | Final=45.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:00:11.695 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:00:11 | BTC-USDT-SWAP | tf=15m | TA=46.0 ML=56.9 News=42.0 Risk=43.5 | Final=48.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:00:14.850 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:00:14 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=52.8 News=40.0 Risk=43.5 | Final=47.0 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:00:17.570 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:00:17 | SOL-USDT-SWAP | tf=15m | TA=45.0 ML=47.7 News=50.0 Risk=45.5 | Final=46.8 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:15:10.872 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:15:10 | BTC-USDT-SWAP | tf=15m | TA=46.0 ML=57.0 News=42.0 Risk=43.5 | Final=48.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:15:14.013 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:15:14 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=45.5 News=40.0 Risk=43.5 | Final=44.4 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:15:17.682 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:15:17 | SOL-USDT-SWAP | tf=15m | TA=44.9 ML=46.2 News=40.0 Risk=45.5 | Final=44.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 07:30:12.714 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 04:30:12 | BTC-USDT-SWAP | tf=15m | TA=46.0 ML=49.6 News=40.0 Risk=43.5 | Final=45.9 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
