ℹ️ 13:15:10 | SOL-USDT-SWAP | tf=15m | TA=43.8 ML=29.6 News=50.0 Risk=47.2 | Final=42.0 (D) | Dir=flat | Gate=PENDING (persist 1/5, conf 1/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:15:12 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=77.0 News=50.0 Risk=45.8 | Final=53.9 (D) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 6/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:30:06 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=46.4 News=50.0 Risk=45.8 | Final=46.3 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:30:07 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=46.4 News=50.0 Risk=45.8 | Final=46.3 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 7/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:30:12 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=46.4 News=50.0 Risk=45.8 | Final=46.3 (D) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 7/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:06 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=51.6 News=50.0 Risk=45.8 | Final=47.6 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 4/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:07 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=29.6 News=50.0 Risk=45.8 | Final=42.1 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:12 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=90.0 News=50.0 Risk=45.8 | Final=57.2 (D) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 8/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:12 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=46.4 News=50.0 Risk=45.8 | Final=46.3 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:12 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=46.4 News=50.0 Risk=45.8 | Final=46.3 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:45:14 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=95.9 News=50.0 Risk=45.8 | Final=58.6 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
